depth,rep,prompt_n,pp_tps,tg_tps,predicted_n
3000,1,2221,188.42,16.625,128
3000,2,2221,191.24,16.561,128
3000,3,2221,189.45,16.406,128
4000,1,2901,185.95,15.186,128
4000,2,2901,185.54,15.226,128
4000,3,2901,185.36,15.230,128
5000,1,3581,184.11,14.031,128
5000,2,3581,184.78,14.064,128
5000,3,3581,185.23,14.047,128
6000,1,4431,181.56,13.019,128
6000,2,4431,181.64,13.017,128
6000,3,4431,180.94,13.006,128
8000,1,5791,178.75,11.626,128
8000,2,5791,179.08,11.627,128
8000,3,5791,179.14,11.629,128
10000,1,7321,174.59,10.304,128
10000,2,7321,172.46,10.274,128
10000,3,7321,173.08,10.302,128
12000,1,8851,169.51,9.253,128
12000,2,8851,169.36,9.237,128
12000,3,8851,169.10,9.253,128
