Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
67.1,81069183157,1110,73035300.1,10436392.5,1878,1001404816,147388422.7,poll
18.2,22015057515,37,595001554.5,500435792.0,500076024,4000432313,575400748.2,pthread_cond_timedwait
7.7,9334958883,2,4667479441.5,4667479441.5,102997573,9231961310,6455152163.6,pthread_cond_wait
6.9,8318705833,9,924300648.1,1000434007.0,315570903,1000443788,228273685.8,pthread_cond_clockwait
0.0,630504,108,5838.0,5842.0,3655,7588,669.8,fputs
0.0,178772,8,22346.5,22328.0,19502,25244,1837.7,pthread_mutex_lock
0.0,103050,4,25762.5,24840.5,13834,39535,13756.3,ioctl
0.0,68198,2,34099.0,34099.0,24775,43423,13186.1,send
0.0,22617,1,22617.0,22617.0,22617,22617,0.0,shutdown
0.0,15386,4,3846.5,3311.0,2277,6487,1828.8,fflush
0.0,9996,3,3332.0,3352.0,1891,4753,1431.1,pthread_cond_signal
0.0,6892,1,6892.0,6892.0,6892,6892,0.0,close
0.0,3617,1,3617.0,3617.0,3617,3617,0.0,pthread_cond_broadcast
0.0,1556,1,1556.0,1556.0,1556,1556,0.0,recv
